READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 5.77349663 0.176583469
0.532031476 7.71484822E-2 11.2229471 0.24619779
0.682470977 7.32910037E-2 14.4913197 0.28702718
0.825195491 6.94335103E-2 15.6444635 0.306400985
0.964064479 6.94354773E-2 15.8420458 0.30832541
1.10292995 6.94299936E-2 15.7112694 0.307062268
1.24951005 7.71500468E-2 13.14538 0.26644823
1.40381002 7.71499872E-2 11.265934 0.246666431
1.55810499 7.71449804E-2 7.88558531 0.206375197
1.71239996 7.71499872E-2 5.8543973 0.177814648
1.86669993 7.71500468E-2 6.64830017 0.189487949
2.02099514 7.71449804E-2 5.53611326 0.172919124
2.17529011 7.71499872E-2 4.18556976 0.150737613
2.32958984 7.71499872E-2 4.76884937 0.160484552
2.48389006 7.71499872E-2 4.18556976 0.150543988
2.63818502 7.71449804E-2 3.74835372 0.142490432
2.79247999 7.71501064E-2 3.66709375 0.140937254
2.9467802 7.71499872E-2 3.694103 0.141247556
3.10107517 7.71449804E-2 3.73755145 0.142285556
3.25537014 7.71499872E-2 3.32685304 0.134042725
3.40966988 7.71499872E-2 3.22963977 0.132069796
3.56396484 7.71449804E-2 2.73835063 0.121614419
3.71825981 7.71499872E-2 2.25210667 0.110286139
3.87256002 7.71499872E-2 2.56534934 0.117706299
4.02685499 7.71450996E-2 2.11182141 0.106799394
4.18114996 7.7149868E-2 1.97667217 0.103604227
4.33545017 7.71501064E-2 1.61481738 9.33872983E-2
4.48974514 7.71448612E-2 1.31246591 8.41947272E-2
4.64404011 7.71501064E-2 1.40958977 8.72514173E-2
4.79833984 7.71501064E-2 1.16655707 7.93741494E-2
4.95264006 7.7149868E-2 1.03154206 7.463976E-2
5.10693502 7.71450996E-2 0.750749767 6.36777654E-2
5.26122999 7.7149868E-2 0.637287736 5.86670935E-2
5.4155302 7.71501064E-2 0.631885052 5.89149781E-2
5.56982517 7.71448612E-2 0.561713815 5.50805703E-2
5.72412014 7.71501064E-2 0.383451611 4.55073342E-2
5.87841988 7.71501064E-2 0.491466165 5.1519651E-2
6.04043007 8.4859848E-2 0.319153696 3.95861417E-2
6.21401024 8.87200832E-2 0.286481559 3.66802029E-2
6.38759518 8.48648548E-2 0.274946958 3.67413312E-2
6.54961014 7.71501064E-2 0.243032724 3.62291783E-2
6.71162033 8.48600864E-2 0.250412196 3.50647196E-2
6.90063477 0.104154825 0.192021832 2.77159642E-2
7.12436962 0.11958003 0.146345511 2.25816015E-2
7.35195494 0.108005047 0.123451024 2.18232628E-2
7.591115 0.131155014 8.89532641E-2 1.68105867E-2
7.83413506 0.111865044 9.6842885E-2 1.8992452E-2
7.97300005 2.69999504E-2 7.71606341E-2 3.45072858E-2
