READ SERR 1 2
@energy.pco
!
0.366162002 6.5576002E-2 11.4020548 0.223526731
0.466454983 3.47170085E-2 20.7920876 0.414847314
0.532031536 3.08595002E-2 24.1267757 0.473986059
0.589892983 2.70020068E-2 27.0626965 0.536658347
0.64389652 2.70015001E-2 29.2661476 0.558286428
0.694042504 2.31444836E-2 31.5856895 0.626227021
0.740332007 2.314502E-2 32.5781975 0.635982394
0.786621511 2.31444836E-2 33.5349655 0.64573884
0.832910538 2.31445134E-2 32.7651443 0.638053238
0.879199505 2.31444836E-2 33.8453598 0.648240566
0.925488472 2.31445134E-2 33.6963272 0.647049606
0.971777499 2.31444836E-2 32.6037827 0.636239469
1.01806605 2.31440365E-2 32.9023972 0.639152646
1.06435502 2.31449604E-2 31.336729 0.623994827
1.11064506 2.314502E-2 31.2869873 0.623251677
1.16078997 2.700001E-2 29.3848343 0.559229434
1.21479499 2.70049572E-2 28.5920258 0.55158329
1.27266002 3.08600068E-2 25.9514542 0.491931528
1.3343749 3.0855E-2 24.2699909 0.475425422
1.39995003 3.47200036E-2 22.8676682 0.435199678
1.47324491 3.85749936E-2 18.9211979 0.375432402
1.56196499 5.014503E-2 14.7331276 0.290678382
1.67768502 6.55750036E-2 11.0691881 0.220241472
1.80883503 6.55750036E-2 11.0998631 0.220633477
1.94384503 6.94349408E-2 10.3834896 0.207296997
2.09042978 7.71499872E-2 7.04702854 0.162011355
2.24473 7.71501064E-2 7.02094507 0.161711127
2.39902496 7.71449804E-2 7.43487406 0.166415334
2.55331993 7.71499872E-2 6.64476681 0.157319412
2.70762014 7.71499872E-2 6.24250507 0.152483165
2.86191511 7.71449804E-2 5.88532114 0.14806132
3.01621008 7.71499872E-2 5.50874996 0.14324154
3.17050982 7.71499872E-2 4.86811113 0.134655058
3.32480478 7.71449804E-2 4.5033884 0.12951684
3.47909999 7.71501064E-2 4.30568314 0.126637742
3.63339996 7.71499872E-2 3.7358191 0.117960162
3.78769493 7.71449804E-2 3.28535008 0.110623494
3.9419899 7.7149868E-2 3.21064901 0.109355137
4.09628963 7.71501064E-2 2.5737257 9.79091451E-2
4.25058508 7.71450996E-2 2.23120379 9.11645144E-2
4.40488005 7.7149868E-2 2.23106575 9.11588818E-2
4.55918026 7.71501064E-2 1.83624721 8.27004164E-2
4.71347523 7.71448612E-2 1.6762017 7.90169016E-2
4.8677702 7.71501064E-2 1.37811661 7.1644865E-2
5.02206993 7.7149868E-2 1.10622132 6.44052327E-2
5.17636967 7.71501064E-2 0.826869905 5.54958768E-2
5.33066511 7.71450996E-2 0.707727432 5.13439439E-2
5.48496008 7.7149868E-2 0.551248312 4.56174687E-2
5.63926029 7.71501064E-2 0.62946403 4.842031E-2
5.79355526 7.71448612E-2 0.536384523 4.46987115E-2
5.94785023 7.71501064E-2 0.469304562 4.1808974E-2
6.10214996 7.7149868E-2 0.398537636 3.85280885E-2
6.25644493 7.71450996E-2 0.365038335 3.68744396E-2
6.4107399 7.7149868E-2 0.301696718 3.35218571E-2
6.56889486 8.10050964E-2 0.32281211 3.38399038E-2
6.73090506 8.10050964E-2 0.227032691 2.83790864E-2
6.89292002 8.10098648E-2 0.255396724 3.0098794E-2
7.06264973 8.87200832E-2 0.171662211 2.3579618E-2
7.22851467 7.71448612E-2 0.156445488 2.41400637E-2
7.41752481 0.111865044 0.100182295 1.6448196E-2
7.63739967 0.108010054 9.57765281E-2 1.59627534E-2
7.86884975 0.123440027 8.84602889E-2 1.43501535E-2
7.99614525 3.85499001E-3 7.45413899E-2 7.45413899E-2
