READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 12.5731525 0.260586977
0.501172006 4.6288982E-2 22.7645969 0.452674001
0.586035013 3.85740101E-2 27.8036938 0.54802233
0.659325957 3.47169936E-2 30.9286575 0.609261692
0.728760004 3.47170234E-2 32.2608299 0.622244298
0.794336021 3.08589935E-2 34.0932503 0.678749681
0.859912038 3.47169936E-2 33.1969986 0.63120836
0.925488472 3.08595002E-2 35.4158897 0.691510856
0.991063952 3.47159803E-2 33.4740181 0.633845747
1.0604949 3.47149968E-2 32.5747795 0.625282884
1.12993002 3.47200036E-2 32.2340584 0.621959329
1.2032249 3.85749936E-2 29.1747723 0.56136483
1.280375 3.85750532E-2 28.4726334 0.554568172
1.36523509 4.62849736E-2 23.5407581 0.460346222
1.46166992 5.01499772E-2 21.0036659 0.417740464
1.58510995 7.329005E-2 14.440341 0.28652373
1.73555005 7.71499872E-2 11.4819632 0.249020174
1.88984501 7.71449804E-2 12.255064 0.257275432
2.04413986 7.71499872E-2 8.6897831 0.216636151
2.19844007 7.71499872E-2 7.56102943 0.202077016
2.35273504 7.71449804E-2 8.46890259 0.21387209
2.50703001 7.71501064E-2 7.63122749 0.20301275
2.66133022 7.71499872E-2 7.00475359 0.194501474
2.81562519 7.71449804E-2 6.55151701 0.18810983
2.96992016 7.71499872E-2 5.90300369 0.178551286
3.12421989 7.71499872E-2 5.73558092 0.176001012
3.27851486 7.71449804E-2 5.10942745 0.166297317
3.43280983 7.71499872E-2 4.84986019 0.161841944
3.58711004 7.71499872E-2 4.25577927 0.151605874
3.74140501 7.71450996E-2 3.83476496 0.143916175
3.89569998 7.71499872E-2 3.60769129 0.139585763
4.05000019 7.71499872E-2 3.17023158 0.130849466
4.20429993 7.7149868E-2 2.84079123 0.123864383
4.35859489 7.71450996E-2 2.72214317 0.121253893
4.51288986 7.71501064E-2 2.18729448 0.108687535
4.66719007 7.7149868E-2 2.21430492 0.109356724
4.82148504 7.71450996E-2 2.00379968 0.104032099
4.97578001 7.7149868E-2 1.57701719 9.26034674E-2
5.13008022 7.71501064E-2 1.0747447 7.61866271E-2
5.28437519 7.71448612E-2 0.950592577 7.1653612E-2
5.43867016 7.71501064E-2 0.842513442 6.74550608E-2
5.59296989 7.7149868E-2 0.642688513 5.89151569E-2
5.74726486 7.71450996E-2 0.583316386 5.61296456E-2
5.90155983 7.71501064E-2 0.556274891 5.4811392E-2
6.05971527 8.1004858E-2 0.421785414 4.65784073E-2
6.21786976 7.71501064E-2 0.475263983 5.0663311E-2
6.37216997 7.7149868E-2 0.442860991 4.89058159E-2
6.53032494 8.10050964E-2 0.303478837 3.95095795E-2
6.70005035 8.87200832E-2 0.281785131 3.63783054E-2
6.87749004 8.87198448E-2 0.314660907 3.84419486E-2
7.05492973 8.87200832E-2 0.178463921 2.89506689E-2
7.24394512 0.100295067 0.157867521 2.56094933E-2
7.47924995 0.135010004 9.5671922E-2 1.71831846E-2
7.71841002 0.104149818 0.108017474 2.07879711E-2
7.91127968 8.87200832E-2 0.103321217 2.20281575E-2
