READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 21.3860683 0.517775416
0.516601503 6.17185086E-2 40.6945267 0.798546135
0.624608994 4.62889969E-2 52.3579636 1.04632223
0.717187524 4.62895036E-2 56.6822052 1.08823287
0.805908501 4.24314737E-2 58.3031311 1.15321779
0.890771508 4.24315035E-2 59.3287506 1.1633085
0.975636482 4.24335003E-2 57.7533531 1.14774454
1.06049991 4.24299836E-2 57.2338943 1.14353168
1.14921999 4.629004E-2 54.2580109 1.06470156
1.24951506 5.40049672E-2 46.6681061 0.914883971
1.36909497 6.55750036E-2 39.0534248 0.759500206
1.51181507 7.714504E-2 30.3129177 0.616707385
1.66611004 7.71499872E-2 20.4329567 0.506721854
1.82041001 7.71499872E-2 19.5303955 0.494797319
1.97470999 7.71500468E-2 17.3115902 0.465843558
2.12900496 7.71449804E-2 10.9818602 0.371042669
2.28329992 7.71499872E-2 12.2096319 0.391221821
2.43760014 7.71499872E-2 13.1874046 0.406585127
2.5918951 7.71449804E-2 11.2075148 0.374835342
2.74619007 7.71499872E-2 10.4671888 0.362232029
2.90048981 7.71499872E-2 10.7680426 0.367828339
3.05478501 7.71450996E-2 9.00109959 0.335918039
3.20908022 7.71499872E-2 8.950387 0.334959805
3.36337996 7.71499872E-2 8.19825363 0.320577085
3.51767492 7.71449804E-2 7.53435802 0.307332873
3.67196989 7.71499872E-2 6.0421381 0.275211841
3.8262701 7.71499872E-2 5.92931795 0.272630334
3.98056507 7.71450996E-2 5.02707624 0.25104022
4.13486004 7.7149868E-2 4.42505789 0.235522076
4.28915977 7.71501064E-2 4.19940472 0.229437992
4.44345999 7.7149868E-2 3.78574371 0.217845067
4.59775496 7.71450996E-2 3.47256899 0.208646446
4.75204992 7.7149868E-2 2.80796885 0.18761532
4.90635014 7.71501064E-2 2.69514036 0.183807045
5.0606451 7.71450996E-2 1.51689839 0.137899846
5.21494007 7.7149868E-2 1.31623542 0.128451422
5.36923981 7.71501064E-2 1.06552064 0.115571938
5.52353477 7.71448612E-2 1.17842054 0.121544801
5.67782974 7.71501064E-2 1.01537848 0.112819828
5.83212996 7.7149868E-2 0.940168142 0.10856127
5.99028492 8.10050964E-2 0.895423293 0.103394575
6.15615511 8.48650932E-2 0.660964847 8.67889374E-2
6.3220253 8.1004858E-2 0.620828629 8.60934407E-2
6.48789024 8.48600864E-2 0.535641074 7.81312734E-2
6.65375996 8.10098648E-2 0.596913695 8.44163448E-2
6.82349014 8.87200832E-2 0.577741265 7.93588683E-2
7.04722023 0.135010004 0.265042335 4.35726903E-2
7.35581017 0.173579931 0.161576405 3.00039854E-2
7.69912004 0.169730186 0.159543246 3.01508382E-2
7.93442535 6.55748844E-2 0.176979586 5.10896072E-2
