READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 12.1680899 0.256468773
0.5050295 5.01465052E-2 22.0769787 0.428457022
0.597607493 4.24315035E-2 27.0239468 0.515513361
0.678613007 3.85739803E-2 29.4779873 0.56448859
0.751904011 3.47169936E-2 31.1806946 0.611974478
0.821337998 3.47170234E-2 33.292984 0.632119954
0.890771508 3.47164869E-2 31.9492779 0.619237185
0.960204959 3.47169936E-2 32.6809196 0.626282752
1.02964103 3.47190201E-2 31.6229172 0.616043806
1.09907508 3.47149968E-2 30.1622772 0.601683199
1.17236495 3.85749936E-2 28.5590897 0.555409908
1.25337005 4.24299836E-2 26.6615696 0.511682808
1.34209001 4.629004E-2 23.2411404 0.457382262
1.44623995 5.78599572E-2 18.9538097 0.369448245
1.58124995 7.71500468E-2 13.5180302 0.270198524
1.73555005 7.71499872E-2 10.1479816 0.234108016
1.88984501 7.71449804E-2 11.2072535 0.246031165
2.04413986 7.71499872E-2 7.62043762 0.202869341
2.19844007 7.71499872E-2 6.67530918 0.189872533
2.35273504 7.71449804E-2 6.95119762 0.193762779
2.50703001 7.71501064E-2 6.39986134 0.185913697
2.66133022 7.71499872E-2 5.87599993 0.178142413
2.81562519 7.71449804E-2 5.66573906 0.174931824
2.96992016 7.71499872E-2 5.53575373 0.172907904
3.12421989 7.71499872E-2 4.9416728 0.16336666
3.27851486 7.71449804E-2 4.66653824 0.158758849
3.43280983 7.71499872E-2 4.22337484 0.15102759
3.58711004 7.71499872E-2 3.75351119 0.142378792
3.74140501 7.71450996E-2 3.22984433 0.132078156
3.89569998 7.71499872E-2 2.91639709 0.125501752
4.05000019 7.71499872E-2 2.65716171 0.119794108
4.20429993 7.7149868E-2 2.67876887 0.120280273
4.35859489 7.71450996E-2 2.27385354 0.110820845
4.51288986 7.71501064E-2 2.03607416 0.104863152
4.66719007 7.7149868E-2 1.62022316 9.35436264E-2
4.82148504 7.71450996E-2 1.6635319 9.4788529E-2
4.97578001 7.7149868E-2 1.06934726 7.59951994E-2
5.13008022 7.71501064E-2 0.783105433 6.54803365E-2
5.28437519 7.71448612E-2 0.653532386 5.94120361E-2
5.43867016 7.71501064E-2 0.594079971 5.66433035E-2
5.59296989 7.7149868E-2 0.545475125 5.42768016E-2
5.74726486 7.71450996E-2 0.588717461 5.63889034E-2
5.90155983 7.71501064E-2 0.453661084 4.94984798E-2
6.05971527 8.1004858E-2 0.360060722 4.30354849E-2
6.21786976 7.71501064E-2 0.453661084 4.94984798E-2
6.38373995 8.87198448E-2 0.267696589 3.54572795E-2
6.56118011 8.87200832E-2 0.262999445 3.51447798E-2
6.74248028 9.258008E-2 0.216029197 3.11811287E-2
6.92377996 8.87198448E-2 0.234821573 3.32087837E-2
7.1359396 0.123440027 0.108014666 1.90944765E-2
7.4291048 0.16972518 6.62836209E-2 1.2756289E-2
7.75698519 0.158154964 6.58636689E-2 1.31727345E-2
7.95757008 4.2429924E-2 4.91005667E-2 2.19584405E-2
