READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 1.6158607 9.72633809E-2
0.532031476 7.71484822E-2 2.99753976 0.132473797
0.68632853 7.71485269E-2 3.80546832 0.149262741
0.840625048 7.71479905E-2 4.44950151 0.161400378
0.994921505 7.71484971E-2 4.39092636 0.160333976
1.14921999 7.71499872E-2 4.12153673 0.155556753
1.30351496 7.714504E-2 3.64755988 0.146136403
1.45781004 7.71499872E-2 2.94479132 0.131301746
1.61211002 7.71499872E-2 1.94367933 0.106673263
1.76640499 7.71449804E-2 1.64520884 9.81449336E-2
1.92069995 7.71499872E-2 1.79146349 0.102411151
2.07499981 7.71499872E-2 1.21187234 8.4230952E-2
2.22930002 7.71499872E-2 1.05380201 7.89809227E-2
2.38359499 7.71450996E-2 1.1124171 8.07032138E-2
2.53788996 7.71499872E-2 1.17089117 8.27945098E-2
2.69219017 7.71499872E-2 0.960130751 7.4973613E-2
2.84648514 7.71449804E-2 1.08314455 7.96343759E-2
3.00078011 7.71499872E-2 0.977694094 7.56562427E-2
3.15507984 7.71499872E-2 0.936712921 7.405366E-2
3.30937481 7.71449804E-2 0.913354337 7.35941455E-2
3.46366978 7.71499872E-2 0.749370337 6.62356019E-2
3.61796999 7.71501064E-2 0.690824687 6.35955706E-2
3.77226496 7.71449804E-2 0.679160953 6.30585104E-2
3.92655993 7.7149868E-2 0.544465244 5.64584136E-2
4.08086014 7.71501064E-2 0.573735774 5.7956066E-2
4.23515511 7.71450996E-2 0.526934385 5.55437617E-2
4.38945007 7.7149868E-2 0.368831277 4.64683734E-2
4.54374981 7.71501064E-2 0.392247915 4.79207113E-2
4.70190525 8.1004858E-2 0.368006289 4.5298446E-2
4.86005974 7.71501064E-2 0.310285687 4.34177369E-2
5.02592993 8.87198448E-2 0.239276186 3.49020176E-2
5.21494007 0.10029006 0.180145949 2.84835752E-2
5.41938496 0.104155064 0.15177843 2.63780598E-2
5.63154507 0.108005047 0.146368086 2.54377797E-2
5.86299038 0.123440027 9.87939015E-2 1.90128945E-2
6.10986519 0.12343502 0.131730542 2.19550915E-2
6.3760252 0.142724991 9.49387699E-2 1.73333697E-2
6.66147518 0.142724991 9.81033966E-2 1.76198911E-2
7.05107498 0.246874809 5.30571118E-2 9.85245872E-3
7.63740492 0.339455128 2.66115405E-2 5.95052121E-3
