READ SERR 1 2
@energy.pco
!
0.346875012 4.62890118E-2 16.6495171 0.321493536
0.420166016 2.70019919E-2 30.2340412 0.567631006
0.466454983 1.92870051E-2 38.0966415 0.753392577
0.505029023 1.92870051E-2 42.0299683 0.791329741
0.543603539 1.92874968E-2 46.0962067 0.828982532
0.578320503 1.54294968E-2 47.8818665 0.944689035
0.609179497 1.54294968E-2 51.0851669 0.975398064
0.640038967 1.54300034E-2 53.5417519 0.998558819
0.670898497 1.54294968E-2 54.8471794 1.01067531
0.701757491 1.54294968E-2 59.3727684 1.05154574
0.732617021 1.54300034E-2 58.1603127 1.04073632
0.763476491 1.54294968E-2 59.5590096 1.05319369
0.794335961 1.54300034E-2 58.9611092 1.04820764
0.825195491 1.54294968E-2 60.2294655 1.05910492
0.856054485 1.54294968E-2 61.8683624 1.07374096
0.886914015 1.54300034E-2 61.8849525 1.07354414
0.917773485 1.54294968E-2 59.298275 1.0508858
0.948632956 1.54300034E-2 60.3392258 1.06037927
0.979492486 1.54294968E-2 59.9128609 1.05631757
1.01035094 1.54289901E-2 59.2070999 1.05042505
1.04120994 1.54300332E-2 56.3165016 1.02512121
1.07207 1.54299736E-2 58.2907867 1.04223692
1.10293007 1.54300332E-2 55.8323021 1.01969361
1.13379002 1.54299736E-2 55.6649055 1.01884687
1.16464996 1.54300332E-2 53.6906357 0.999945223
1.19551003 1.54299736E-2 50.8973541 0.973588407
1.22636998 1.54299736E-2 49.5937271 0.961039305
1.25723004 1.54300332E-2 46.7628098 0.933205426
1.29194498 1.92849636E-2 45.2529335 0.821153462
1.33051491 1.92850232E-2 43.226326 0.802554369
1.36909008 1.929003E-2 42.8873787 0.799297929
1.40766501 1.92849636E-2 39.1884117 0.76415211
1.44623995 1.929003E-2 38.0012894 0.752390146
1.488675 2.31449604E-2 33.0376549 0.64069289
1.53882003 2.700001E-2 28.6185513 0.551889598
1.59667993 3.08600068E-2 24.6571407 0.479344428
1.66611505 3.85749936E-2 20.3589096 0.389434755
1.74326491 3.85749936E-2 19.8970547 0.384992123
1.82041001 3.85699868E-2 20.421154 0.390054941
1.89369988 3.47200036E-2 20.7737408 0.414646357
1.97084999 4.24299836E-2 18.1163902 0.350275517
2.07499981 6.17200136E-2 12.1516495 0.237856477
2.19844007 6.17200136E-2 11.9886971 0.236256272
2.31801987 5.78600168E-2 13.230505 0.256335825
2.43374014 5.78600168E-2 12.530242 0.249459952
2.55331993 6.17200136E-2 12.105092 0.237491667
2.68447495 6.94350004E-2 10.6731758 0.210168675
2.82333994 6.94299936E-2 10.4338951 0.207889363
2.96606493 7.32949972E-2 10.0914822 0.198907286
3.11264992 7.32899904E-2 9.81771469 0.196197405
3.26308489 7.71449804E-2 8.73485947 0.180378392
3.41737986 7.71499872E-2 8.41024876 0.176989242
3.57168007 7.71499872E-2 7.1066227 0.162694961
3.7259798 7.71499872E-2 6.14566422 0.151295796
3.88027501 7.71450996E-2 5.90393639 0.148295179
4.03457022 7.71499872E-2 4.97985029 0.136293516
4.18886995 7.7149868E-2 4.44350863 0.128648818
4.34316492 7.71450996E-2 3.99307251 0.121957861
4.49746037 7.71501064E-2 3.75071192 0.11819496
4.6517601 7.7149868E-2 2.96854663 0.105283171
4.80605507 7.71450996E-2 3.0730269 0.106989063
4.96035004 7.7149868E-2 2.33163142 9.31907371E-2
5.11464977 7.71501064E-2 1.61276889 7.76835158E-2
5.26894474 7.71448612E-2 1.24783897 6.81767315E-2
5.42323971 7.71501064E-2 1.18815994 6.67323992E-2
5.57753992 7.7149868E-2 1.02800369 6.21023402E-2
5.73183489 7.71450996E-2 0.89024657 5.75852655E-2
5.88613033 7.71501064E-2 0.890188813 5.75815253E-2
6.04043007 7.7149868E-2 0.707683682 5.16102761E-2
6.19472504 7.71450996E-2 0.584806323 4.66726273E-2
6.34902 7.7149868E-2 0.569871604 4.60713878E-2
6.50331974 7.71501064E-2 0.506550968 4.34363857E-2
6.65761995 7.7149868E-2 0.491653919 4.31159511E-2
6.81577492 8.10050964E-2 0.393759817 3.73740271E-2
6.97392511 7.71450996E-2 0.34641394 3.59214507E-2
7.13593483 8.48648548E-2 0.203162774 2.62282006E-2
7.30566502 8.48650932E-2 0.176073909 2.44170576E-2
7.48310471 9.25748348E-2 0.183138564 2.38426104E-2
7.66054487 8.48650932E-2 0.148985609 2.24604271E-2
7.84184504 9.643507E-2 0.128131002 1.9539794E-2
7.96914005 3.08599472E-2 0.13967441 3.60637754E-2
