READ SERR 1 2
@energy.pco
!
0.366162002 6.5576002E-2 10.71276 0.21302323
0.470312476 3.85745019E-2 19.5653133 0.375354826
0.539745986 3.08589935E-2 24.2680912 0.467385978
0.597607017 2.70020068E-2 26.3457794 0.520602524
0.65161097 2.70020068E-2 29.0204773 0.546390355
0.701757491 2.31444836E-2 30.544836 0.60547179
0.748046517 2.31445134E-2 31.1328888 0.611271918
0.794335485 2.31445134E-2 31.8289986 0.61806792
0.840625048 2.31449902E-2 32.8364792 0.627767086
0.886914492 2.31444836E-2 31.1929379 0.611861527
0.933203459 2.31445134E-2 31.3249187 0.613154173
0.979493976 2.31460035E-2 31.3229027 0.613114715
1.02578497 2.314502E-2 31.276226 0.61267072
1.07593 2.69999504E-2 29.6708355 0.552499831
1.12993002 2.700001E-2 29.5884666 0.551731825
1.18393493 2.70050168E-2 27.217165 0.529312372
1.23794007 2.700001E-2 26.0596619 0.517787039
1.29579997 3.08600068E-2 24.375309 0.468409628
1.3575201 3.08600068E-2 23.4661865 0.459591508
1.42309499 3.47149968E-2 21.9325638 0.418923646
1.50024509 4.24349904E-2 17.5562668 0.339002401
1.59667993 5.39999604E-2 13.2973347 0.261537731
1.71239996 6.17200136E-2 11.3955469 0.226466164
1.83583999 6.17200136E-2 11.4855595 0.227358833
1.966995 6.94349408E-2 10.4334278 0.204302281
2.11357498 7.71450996E-2 7.42468119 0.163585201
2.26786995 7.71499872E-2 7.35940218 0.162780389
2.42217016 7.71499872E-2 7.73745346 0.166909039
2.57646513 7.71449804E-2 6.97100163 0.158431858
2.7307601 7.71499872E-2 6.47728205 0.152713433
2.88505983 7.71499872E-2 6.33326244 0.151006117
3.0393548 7.71449804E-2 5.88718367 0.145595759
3.19365001 7.71501064E-2 5.72117043 0.14352347
3.34794998 7.71499872E-2 5.1378994 0.13601087
3.50224495 7.71449804E-2 4.66653824 0.129626065
3.65653992 7.71499872E-2 4.14416409 0.122151643
3.81084013 7.71499872E-2 3.6184926 0.114141785
3.9651401 7.71501064E-2 3.44206333 0.111324288
4.11943531 7.71448612E-2 3.23705578 0.107961856
4.27373028 7.71501064E-2 2.86238527 0.101773418
4.42803001 7.7149868E-2 2.6355629 9.74132121E-2
4.58232498 7.71450996E-2 2.40527987 9.30630714E-2
4.73661995 7.7149868E-2 2.0090766 8.50510001E-2
4.89091969 7.71501064E-2 1.55180895 7.4748002E-2
5.04521513 7.71450996E-2 1.20624065 6.59039691E-2
5.1995101 7.7149868E-2 0.997337341 5.99241927E-2
5.35381031 7.71501064E-2 0.878518283 5.64713962E-2
5.50810528 7.71448612E-2 0.817365587 5.42504601E-2
5.66240025 7.71501064E-2 0.691293061 5.0148949E-2
5.81669998 7.7149868E-2 0.655290246 4.85733449E-2
5.97099495 7.71450996E-2 0.540107727 4.4099614E-2
6.12528992 7.7149868E-2 0.475265443 4.13665473E-2
6.27958965 7.71501064E-2 0.468062997 4.10518423E-2
6.43389034 7.71501064E-2 0.51846981 4.32058163E-2
6.58818531 7.71448612E-2 0.385278046 3.72462347E-2
6.74248028 7.71501064E-2 0.313242167 3.3583086E-2
6.89678001 7.7149868E-2 0.298841149 3.28020789E-2
7.05107498 7.71450996E-2 0.28445676 3.20038833E-2
7.21308517 8.48648548E-2 0.212756574 2.6389204E-2
7.38667011 8.87200832E-2 0.137761623 2.07683463E-2
7.57568502 0.100295067 0.155097917 2.07258295E-2
7.76083994 8.4859848E-2 0.18330878 2.44956668E-2
7.92284966 7.71501064E-2 0.111615025 2.00466495E-2
