READ SERR 1 2
@energy.pco
!
0.350732505 5.01465052E-2 17.9845524 0.358403116
0.431738496 3.08595002E-2 31.2210846 0.601965845
0.485742509 2.31444985E-2 39.84869 0.785281599
0.532031536 2.31445134E-2 41.6747398 0.803072393
0.57446301 1.92869902E-2 46.5930138 0.930187404
0.61303699 1.92869902E-2 50.0285263 0.963871002
0.65161097 1.928702E-2 53.5939522 0.997971296
0.690185547 1.92874968E-2 57.0651932 1.02941382
0.724902511 1.54294968E-2 58.311264 1.16343641
0.755761504 1.54294968E-2 59.982605 1.17999208
0.786620975 1.54300034E-2 58.8896561 1.169173
0.817480505 1.54294968E-2 60.1683121 1.18181729
0.848340034 1.54300034E-2 59.423542 1.17446089
0.879199505 1.54294968E-2 61.1896858 1.19180584
0.910058498 1.54294968E-2 60.8879166 1.1888634
0.940917969 1.54300034E-2 62.6964798 1.20637095
0.971777499 1.54294968E-2 59.1701469 1.17197335
1.00263846 1.54314935E-2 61.7156029 1.19683921
1.03349996 1.54300332E-2 58.7966957 1.16824877
1.06821501 1.92849636E-2 56.6640968 1.02585709
1.10678506 1.92850232E-2 55.9767494 1.01961458
1.14535999 1.92899704E-2 54.9040451 1.00966823
1.18393493 1.92850232E-2 55.0109901 1.01078069
1.22250998 1.92899704E-2 48.6653709 0.950575352
1.26108503 1.92850232E-2 50.6279411 0.969677567
1.30351496 2.314502E-2 46.4400864 0.847734809
1.349805 2.31449604E-2 44.5832176 0.830614984
1.39609504 2.314502E-2 40.4667854 0.791339576
1.44623995 2.700001E-2 37.6737633 0.706935585
1.50024509 2.70050168E-2 33.4624214 0.666190982
1.56196499 3.47149968E-2 27.5472794 0.533117712
1.63911009 4.24299836E-2 22.3189201 0.434052676
1.72782993 4.62899804E-2 20.89884 0.402123898
1.81655002 4.24299836E-2 22.5637188 0.43642658
1.90141499 4.243505E-2 22.1390076 0.432273895
1.99399507 5.014503E-2 18.8564796 0.367132723
2.10971498 6.55750036E-2 14.0753975 0.277270377
2.23701 6.17198944E-2 14.954567 0.294703364
2.35658979 5.78600168E-2 16.2245655 0.316912621
2.47617006 6.17200136E-2 15.0705996 0.295729429
2.60346508 6.55750036E-2 13.9552355 0.276192337
2.73847485 6.94350004E-2 13.4734659 0.263628721
2.88119984 7.32899904E-2 12.9113817 0.251192302
3.03164005 7.71499872E-2 11.6804447 0.232864901
3.18593979 7.71499872E-2 11.2672653 0.228803411
3.34023499 7.71450996E-2 10.5437078 0.221250772
3.4945302 7.71499872E-2 9.49848557 0.20999141
3.64882994 7.71499872E-2 8.27287388 0.195975855
3.8031249 7.71449804E-2 7.45164156 0.18600063
3.95742011 7.71501064E-2 7.01475525 0.180579111
4.11172009 7.7149868E-2 6.23948383 0.170195878
4.26601505 7.71450996E-2 5.84059238 0.16467078
4.42031002 7.7149868E-2 5.33420181 0.157365456
4.57460976 7.71501064E-2 4.36855364 0.142562047
4.72890472 7.71448612E-2 3.83493161 0.13343434
4.88319969 7.71501064E-2 3.51898384 0.127815247
5.0374999 7.7149868E-2 2.66013718 0.111128822
5.19180012 7.71501064E-2 2.01482701 9.69373882E-2
5.34609509 7.71450996E-2 1.81996191 9.19219628E-2
5.50039005 7.7149868E-2 1.70378768 8.8936992E-2
5.65468979 7.71501064E-2 1.49487174 8.33059475E-2
5.80898476 7.71448612E-2 1.34640455 7.90636018E-2
5.96327972 7.71501064E-2 1.25346386 7.62833804E-2
6.11757994 7.7149868E-2 1.12812102 7.23689944E-2
6.2718749 7.71450996E-2 0.928552032 6.56585395E-2
6.42617035 7.71501064E-2 0.849569976 6.28020167E-2
6.58047009 7.7149868E-2 0.807790339 6.12384267E-2
6.73476505 7.71450996E-2 0.784626424 6.03558794E-2
6.88906002 7.7149868E-2 0.598879039 5.31355329E-2
7.04721498 8.10050964E-2 0.397937387 4.19462845E-2
7.21308517 8.48648548E-2 0.358736575 3.89104448E-2
7.38281488 8.48650932E-2 0.320751786 3.67927551E-2
7.54868507 8.10050964E-2 0.221076325 3.12649161E-2
7.71841002 8.87198448E-2 0.262408048 3.25477123E-2
7.89199495 8.48650932E-2 0.177257568 2.73514371E-2
7.98843002 1.15699768E-2 0.123826072 6.19130358E-2
