READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 11.6292248 0.389812499
0.532031476 7.71484822E-2 23.1931267 0.550503552
0.68632853 7.71485269E-2 30.65411 0.63288486
0.840625048 7.71479905E-2 32.2876511 0.649794102
0.994921505 7.71484971E-2 31.5557117 0.642124772
1.14921999 7.71499872E-2 29.0594406 0.616197407
1.30351496 7.714504E-2 24.52701 0.566125154
1.45781004 7.71499872E-2 19.2597198 0.501650453
1.61211002 7.71499872E-2 12.7396383 0.407994926
1.76640499 7.71449804E-2 10.8457289 0.376460761
1.92069995 7.71499872E-2 11.9425936 0.395025909
2.07499981 7.71499872E-2 6.97740173 0.301941693
2.22930002 7.71499872E-2 6.7160759 0.296233416
2.38359499 7.71450996E-2 7.44826031 0.311973304
2.53788996 7.71499872E-2 6.62461185 0.294209331
2.69219017 7.71499872E-2 6.42861748 0.289824456
2.84648514 7.71449804E-2 5.81487894 0.275651693
3.00078011 7.71499872E-2 5.54010916 0.269051492
3.15507984 7.71499872E-2 5.59237432 0.270317614
3.30937481 7.71449804E-2 4.92631292 0.253718019
3.46366978 7.71499872E-2 5.00439119 0.25571245
3.61796999 7.71501064E-2 4.05054522 0.230055511
3.77226496 7.71449804E-2 4.07694864 0.230811775
3.92655993 7.7149868E-2 3.03138518 0.199020192
4.08086014 7.71501064E-2 3.17510486 0.203683078
4.23515511 7.71450996E-2 2.94010282 0.196006849
4.38945007 7.7149868E-2 2.45646739 0.179156289
4.54374981 7.71501064E-2 2.33886313 0.17481485
4.69805002 7.7149868E-2 2.14287567 0.167330489
4.85234499 7.71450996E-2 1.88166571 0.156805471
5.00663996 7.7149868E-2 1.34583044 0.132608622
5.16479492 8.10050964E-2 0.908445418 0.106325492
5.32680511 8.10050964E-2 0.908445418 0.107772164
5.48496008 7.7149868E-2 0.849310517 0.105344005
5.64311504 8.10050964E-2 0.721778572 9.47741717E-2
5.81283998 8.87198448E-2 0.590841353 8.19349587E-2
5.97871017 7.71501064E-2 0.61411494 8.95778686E-2
6.14457989 8.87200832E-2 0.545390546 7.87203461E-2
6.32588005 9.25798416E-2 0.500875413 7.38500506E-2
6.51103497 9.25750732E-2 0.479122907 7.22304955E-2
6.70775986 0.104150057 0.300047845 5.38901836E-2
6.91605997 0.104149818 0.396838367 6.19757436E-2
7.13979483 0.119585037 0.269749999 4.76855151E-2
7.42524529 0.165865183 0.18840602 3.38387229E-2
7.77626991 0.185159922 0.141551569 2.77605467E-2
7.97686005 1.54299736E-2 0.130663157 9.23928022E-2
