READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 5.45768976 0.170552805
0.532031476 7.71484822E-2 10.6542244 0.238295287
0.68632853 7.71485269E-2 13.0046482 0.263271421
0.836768031 7.32909739E-2 14.0481863 0.280739218
0.987209499 7.71505237E-2 13.5159569 0.268393606
1.141505 7.71449804E-2 13.2504272 0.265967399
1.29579997 7.71499872E-2 10.4035215 0.235472649
1.45009995 7.71500468E-2 8.58609676 0.213918328
1.60439503 7.71449804E-2 5.84703064 0.176535502
1.75869 7.71499872E-2 4.60483742 0.156659752
1.91298997 7.71499872E-2 4.79670572 0.160067752
2.06728506 7.71449804E-2 2.76094985 0.121309169
2.22158003 7.71499872E-2 2.88868284 0.124079548
2.37588 7.71501064E-2 2.96329355 0.12567164
2.53017521 7.71449804E-2 2.94750047 0.125340477
2.68447018 7.71499872E-2 2.80340815 0.122234397
2.83876991 7.71499872E-2 2.57956171 0.117252804
2.99306488 7.71449804E-2 2.4731288 0.114812121
3.14735985 7.71499872E-2 2.13719893 0.106726624
3.30166006 7.71499872E-2 1.96131968 0.10224086
3.4559598 7.71499872E-2 1.7694515 9.71112624E-2
3.610255 7.71450996E-2 1.71626341 9.56436247E-2
3.76455021 7.71499872E-2 1.36972594 8.54411572E-2
3.91884995 7.71499872E-2 1.25247312 8.17023441E-2
4.07314491 7.71449804E-2 0.9807235 7.22998977E-2
4.22743988 7.71501064E-2 0.938021004 7.0705995E-2
4.38174009 7.7149868E-2 1.04461753 7.46155381E-2
4.53603506 7.71450996E-2 0.804831624 6.54962659E-2
4.69033003 7.7149868E-2 0.842089653 6.69930577E-2
4.84463024 7.71501064E-2 0.607581794 5.69052473E-2
4.99892521 7.71448612E-2 0.405082077 4.6466101E-2
5.1570797 8.10101032E-2 0.299467206 3.89873087E-2
5.32680988 8.87200832E-2 0.241000444 3.3420749E-2
5.49267483 7.71448612E-2 0.287821472 3.9167542E-2
5.66240025 9.258008E-2 0.20430392 3.01229712E-2
5.84369993 8.87198448E-2 0.180750817 2.89432947E-2
6.01342487 8.10050964E-2 0.187813073 3.08762789E-2
6.19086504 9.643507E-2 0.191873029 2.86027435E-2
6.38759518 0.100294828 0.147591174 2.45985296E-2
6.59975481 0.111865044 0.132325798 2.20542997E-2
6.83506012 0.123440027 9.32692438E-2 1.76262297E-2
7.18994522 0.231445074 4.97446656E-2 9.73081309E-3
7.67983532 0.258445024 3.34108509E-2 7.29084574E-3
7.9652853 2.70049572E-2 4.56787497E-2 2.63726376E-2
