READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 5.98412943 0.179775745
0.532031476 7.71484822E-2 11.8224401 0.252687782
0.678613484 6.94335103E-2 15.5484486 0.305812776
0.813623011 6.55760169E-2 15.8912268 0.317760974
0.944774508 6.55754805E-2 16.3107204 0.322054476
1.07978499 6.94350004E-2 15.3860922 0.303857058
1.22636998 7.71499872E-2 13.7610741 0.272616804
1.38066506 7.714504E-2 11.1586351 0.245496839
1.53496003 7.71499872E-2 7.63664007 0.203084886
1.68926001 7.71499872E-2 5.06588984 0.165407166
1.84355497 7.71449804E-2 5.61712933 0.174179792
1.99784994 7.71500468E-2 4.38539362 0.153897151
2.15215015 7.71499872E-2 3.17563248 0.131183401
2.30644512 7.71449804E-2 3.42968965 0.136103079
2.46074009 7.71499872E-2 3.46187139 0.136735693
2.61503983 7.71499872E-2 2.88399267 0.124802567
2.76933479 7.71449804E-2 3.03000927 0.127927095
2.92363 7.71501064E-2 2.60315037 0.118570253
3.07792997 7.71499872E-2 2.7165699 0.121125862
3.23223019 7.71499872E-2 2.40332723 0.113928638
3.38652515 7.71449804E-2 2.19284081 0.108828865
3.54082012 7.71499872E-2 1.86325371 0.100604557
3.69511986 7.71499872E-2 1.61481988 9.33874473E-2
3.84941483 7.71449804E-2 1.59332037 9.27666947E-2
4.00370979 7.71501064E-2 1.37178469 8.60734284E-2
4.15801001 7.7149868E-2 1.26377404 8.26154947E-2
4.31230497 7.71450996E-2 1.12882519 7.80824721E-2
4.46659994 7.7149868E-2 0.950530887 7.20549077E-2
4.62090015 7.71501064E-2 1.03153884 7.46395364E-2
4.77519512 7.71450996E-2 0.7993595 6.5706946E-2
4.92949009 7.7149868E-2 0.680493712 6.06231987E-2
5.08378983 7.71501064E-2 0.496866882 5.18019535E-2
5.23808479 7.71448612E-2 0.356472224 4.38786969E-2
5.39237976 7.71501064E-2 0.313242167 4.18338515E-2
5.55439472 8.48648548E-2 0.225849286 3.32996584E-2
5.72026491 8.10050964E-2 0.282903999 3.88341546E-2
5.89385033 9.258008E-2 0.216029197 3.11811287E-2
6.07129002 8.4859848E-2 0.216042489 3.25696319E-2
6.24872971 9.258008E-2 0.216029197 3.11811287E-2
6.46474504 0.12343502 0.128272623 2.08085664E-2
6.71162033 0.123440027 0.124891959 2.05321107E-2
6.97778511 0.142724991 8.17422867E-2 1.54478392E-2
7.38667011 0.266160011 4.22678068E-2 8.13444331E-3
7.81869984 0.165869951 4.52161469E-2 1.0657548E-2
