READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 6.08134413 0.148061365
0.516601503 6.17185086E-2 11.5443487 0.227942735
0.628466487 5.01464903E-2 14.1529789 0.279996365
0.724902034 4.62889969E-2 15.7164783 0.307105422
0.813623011 4.24320102E-2 16.7261047 0.330901951
0.898486495 4.24315035E-2 17.2041988 0.33559984
0.983348966 4.24309671E-2 17.4204521 0.337831497
1.07207 4.629004E-2 15.5721045 0.305688173
1.16850495 5.01449704E-2 14.7461338 0.285807848
1.27265501 5.40050268E-2 13.568696 0.264180481
1.38452005 5.78599572E-2 12.1173801 0.241288185
1.51953006 7.71500468E-2 9.31806183 0.183165401
1.67383003 7.71499872E-2 6.38006878 0.151563108
1.828125 7.71449804E-2 6.51370955 0.153231859
1.98241997 7.71500468E-2 5.80038548 0.144603401
2.13672018 7.71499872E-2 4.12976217 0.122045465
2.29101515 7.71449804E-2 4.65213537 0.129425868
2.44531012 7.71499872E-2 4.69503927 0.130017087
2.59960985 7.71499872E-2 3.97494125 0.11963167
2.75390482 7.71449804E-2 4.01120663 0.120180063
2.90819979 7.71499872E-2 3.84532356 0.117775112
3.0625 7.71501064E-2 3.66889381 0.114933878
3.21680021 7.71499872E-2 3.49607611 0.112194419
3.37109518 7.71449804E-2 3.31626678 0.109274708
3.52539015 7.71499872E-2 3.10362267 0.105709806
3.67968988 7.71499872E-2 2.65356135 9.77451876E-2
3.83398485 7.71449804E-2 2.34047055 9.18008089E-2
3.98828006 7.71501064E-2 2.03067327 8.55067745E-2
4.14258003 7.7149868E-2 1.90106177 8.27330947E-2
4.296875 7.71450996E-2 1.68873692 7.81447142E-2
4.45116997 7.7149868E-2 1.43299735 7.18296692E-2
4.6054697 7.71501064E-2 1.37178469 7.04628751E-2
4.75976467 7.71448612E-2 1.29986334 6.84138611E-2
4.91405964 7.71501064E-2 1.14855456 6.43067136E-2
5.06836033 7.71501064E-2 0.849714398 5.53116947E-2
5.2226553 7.71448612E-2 0.633728385 4.77690734E-2
5.37695026 7.71501064E-2 0.6156829 4.70824465E-2
5.53125 7.7149868E-2 0.475265443 4.13665473E-2
5.68554974 7.71501064E-2 0.550874174 4.45355363E-2
5.8398447 7.71448612E-2 0.460893363 4.07376029E-2
5.99413967 7.71501064E-2 0.435658664 3.96053307E-2
6.14844036 7.71501064E-2 0.460862041 4.0734835E-2
6.30273533 7.71448612E-2 0.360072941 3.60072963E-2
6.46474504 8.48650932E-2 0.248760834 2.8534824E-2
6.62676001 7.7149868E-2 0.334846109 3.47219259E-2
6.78491497 8.10050964E-2 0.264043748 3.00905779E-2
6.95849514 9.25750732E-2 0.204038605 2.47433148E-2
7.1397953 8.87248516E-2 0.134623438 2.05298811E-2
7.30952501 8.10050964E-2 0.133736446 2.14149691E-2
7.47924995 8.87198448E-2 0.118976265 1.93004981E-2
7.65668964 8.87200832E-2 0.12836878 2.0047836E-2
7.83798981 9.258008E-2 0.108014598 1.84957422E-2
7.96143007 3.08599472E-2 8.10111538E-2 2.70037185E-2
