READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 4.101789 0.135823801
0.532031476 7.71484822E-2 8.63534832 0.197073966
0.68632853 7.71485269E-2 10.6592522 0.218953833
0.840625048 7.71479905E-2 11.57234 0.228139922
0.994921505 7.71484971E-2 10.830164 0.220702261
1.14921999 7.71499872E-2 10.3667135 0.215926349
1.30351496 7.714504E-2 8.94608021 0.200592831
1.45781004 7.71499872E-2 7.38487768 0.182245463
1.61211002 7.71499872E-2 4.43452454 0.141367197
1.76640499 7.71449804E-2 4.07049227 0.135307744
1.92069995 7.71499872E-2 4.25462532 0.138329789
2.07499981 7.71499872E-2 2.71648359 0.110715002
2.22930002 7.71499872E-2 2.64902139 0.109336182
2.38359499 7.71450996E-2 2.74364257 0.111268796
2.53788996 7.71499872E-2 2.52309155 0.106525011
2.69219017 7.71499872E-2 2.43763924 0.104705572
2.84648514 7.71449804E-2 2.18592191 9.9155426E-2
3.00078011 7.71499872E-2 2.03736281 9.57236513E-2
3.15507984 7.71499872E-2 2.00588036 9.51939151E-2
3.30937481 7.71449804E-2 1.74064147 8.87101144E-2
3.46366978 7.71499872E-2 1.69105613 8.720956E-2
3.61796999 7.71501064E-2 1.50215924 8.21944922E-2
3.77226496 7.71449804E-2 1.34933448 7.79038593E-2
3.92655993 7.7149868E-2 1.1918366 7.32139423E-2
4.08086014 7.71501064E-2 1.04341602 6.85036108E-2
4.23515511 7.71450996E-2 0.976017058 6.62563592E-2
4.38945007 7.7149868E-2 0.926484287 6.45512193E-2
4.54374981 7.71501064E-2 0.791556954 5.96658513E-2
4.69805002 7.7149868E-2 0.683619499 5.54488599E-2
4.85234499 7.71450996E-2 0.638683975 5.35971709E-2
5.01049519 8.1004858E-2 0.44119662 4.34723943E-2
5.16864967 7.71501064E-2 0.341808677 3.92081439E-2
5.32680511 8.10050964E-2 0.295558035 3.55810076E-2
5.49267483 8.48648548E-2 0.257583886 3.245252E-2
5.66625977 8.87200832E-2 0.250301838 3.12877297E-2
5.83598518 8.1004858E-2 0.235590428 3.1767007E-2
6.01728487 0.100295067 0.134924576 2.16052234E-2
6.23330021 0.115720034 0.107944362 1.7990727E-2
6.44931507 0.100295067 0.12454576 2.07576267E-2
6.64604473 9.64348316E-2 0.12593317 2.18863301E-2
6.86592007 0.123440027 0.106815338 1.73277352E-2
7.1552248 0.165865183 6.06664792E-2 1.12654828E-2
7.46767521 0.146584988 6.86458871E-2 1.27472216E-2
7.80712986 0.192869902 2.87846886E-2 7.19617214E-3
