READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 1.48702133 7.99427629E-2
0.532031476 7.71484822E-2 2.97404385 0.113056183
0.68632853 7.71485269E-2 3.60151339 0.124412216
0.840625048 7.71479905E-2 4.03131628 0.131627142
0.994921505 7.71484971E-2 3.85508204 0.128860861
1.14921999 7.71499872E-2 3.28771567 0.118867606
1.30351496 7.714504E-2 2.97847462 0.113142893
1.45781004 7.71499872E-2 2.39380074 0.101428591
1.61211002 7.71499872E-2 1.61592293 8.33348632E-2
1.76640499 7.71449804E-2 1.35385311 7.62809813E-2
1.92069995 7.71499872E-2 1.40533721 7.77153298E-2
2.07499981 7.71499872E-2 0.898212492 6.21306561E-2
2.22930002 7.71499872E-2 0.820854485 5.93949445E-2
2.38359499 7.71450996E-2 0.928354979 6.31665587E-2
2.53788996 7.71499872E-2 0.893914819 6.22791164E-2
2.69219017 7.71499872E-2 0.885319471 6.16831332E-2
2.84648514 7.71449804E-2 0.696267307 5.47039248E-2
3.00078011 7.71499872E-2 0.709115148 5.5538103E-2
3.15507984 7.71499872E-2 0.717710435 5.5538103E-2
3.30937481 7.71449804E-2 0.580222785 4.99376245E-2
3.46366978 7.71499872E-2 0.648947775 5.28106205E-2
3.61796999 7.71501064E-2 0.524314642 4.74692136E-2
3.77226496 7.71449804E-2 0.425496697 4.27640267E-2
3.92655993 7.7149868E-2 0.365302294 3.96225974E-2
4.08086014 7.71501064E-2 0.395384789 4.12217155E-2
4.2390151 8.10050964E-2 0.298799038 3.49717811E-2
4.41260004 9.25798416E-2 0.290093005 3.26280631E-2
4.59004021 8.48600864E-2 0.195359796 2.76280474E-2
4.75204992 7.7149868E-2 0.266455799 3.38399187E-2
4.91406488 8.48650932E-2 0.195348278 2.76264176E-2
5.08378983 8.48600864E-2 0.199267 2.79029608E-2
5.29980516 0.131155014 8.34252834E-2 1.4522478E-2
5.54282475 0.111864805 0.103739284 1.75351389E-2
5.74726486 9.25750732E-2 0.118192121 2.05746088E-2
5.9979949 0.158154964 5.45078665E-2 1.06898723E-2
6.28730488 0.131155014 6.57290146E-2 1.28905205E-2
6.54575491 0.127295017 6.51174337E-2 1.30234864E-2
6.88520527 0.212155104 4.21967432E-2 8.12076684E-3
7.44067001 0.343309879 2.51105204E-2 4.92457813E-3
7.87270498 8.872509E-2 2.24219542E-2 9.15372465E-3
