READ SERR 1 2
@energy.pco
!
0.377734482 7.7148512E-2 9.38665771 0.225157335
0.516601503 6.17185086E-2 17.7283401 0.345955878
0.628466487 5.01464903E-2 21.8526421 0.426114291
0.724902034 4.62889969E-2 24.7449017 0.471952587
0.813623011 4.24320102E-2 25.9336452 0.504637301
0.894629002 3.85739803E-2 28.0305538 0.550253689
0.975636482 4.24335003E-2 25.7756252 0.503088713
1.06049991 4.24299836E-2 24.9725132 0.495209634
1.14921999 4.629004E-2 23.0161095 0.455162585
1.24565506 5.01449704E-2 21.8948517 0.426693916
1.349805 5.40050268E-2 19.5660801 0.388534158
1.46553004 6.17200136E-2 16.9853058 0.338624269
1.60439503 7.71449804E-2 11.3044729 0.247095987
1.75869 7.71499872E-2 9.7429266 0.229388252
1.91298997 7.71499872E-2 10.3748131 0.236709982
2.06728506 7.71449804E-2 7.25905943 0.198007077
2.22158003 7.71499872E-2 7.13437128 0.196441308
2.37588 7.71501064E-2 7.60962439 0.202725187
2.53017521 7.71449804E-2 6.65413761 0.189577341
2.68447018 7.71499872E-2 6.51328707 0.187554091
2.83876991 7.71499872E-2 5.9732132 0.179609984
2.99306488 7.71449804E-2 5.96279907 0.179459155
3.14735985 7.71499872E-2 5.45474291 0.171638057
3.30166006 7.71499872E-2 4.66623545 0.158748552
3.4559598 7.71499872E-2 4.650033 0.158472702
3.610255 7.71450996E-2 4.15882969 0.149873823
3.76455021 7.71499872E-2 3.74270964 0.142173782
3.91884995 7.71499872E-2 3.15943027 0.130626366
4.07314491 7.71449804E-2 2.92198753 0.125626057
4.22743988 7.71501064E-2 2.651757 0.11967212
4.38174009 7.7149868E-2 2.39252949 0.113672502
4.53603506 7.71450996E-2 2.21444178 0.109363489
4.69033003 7.7149868E-2 1.99287438 0.103744902
4.84463024 7.71501064E-2 2.01447129 0.104305364
4.99892521 7.71448612E-2 1.37187791 8.60792771E-2
5.15322018 7.71501064E-2 1.0747447 7.61866271E-2
5.30751991 7.7149868E-2 0.972133875 7.24585801E-2
5.46181488 7.71450996E-2 0.891177773 6.97973073E-2
5.61610985 7.71501064E-2 0.734498858 6.29827604E-2
5.77041006 7.7149868E-2 0.712898195 6.2049821E-2
5.92471027 7.71501064E-2 0.610282183 5.79163469E-2
6.07900524 7.71448612E-2 0.534708321 5.37402108E-2
6.23715496 8.10050964E-2 0.49379608 5.09201251E-2
6.39530993 7.7149868E-2 0.437460244 4.86066937E-2
6.55346489 8.10050964E-2 0.324053675 4.21030745E-2
6.71547508 8.10050964E-2 0.370347083 4.36458215E-2
6.87749004 8.10098648E-2 0.308604389 3.98406573E-2
7.05107498 9.25750732E-2 0.171032354 2.77451128E-2
7.2362299 9.258008E-2 0.15302068 2.62428299E-2
7.44453001 0.115719795 0.115220852 2.03683618E-2
7.64126015 8.10101032E-2 0.138871565 2.67258454E-2
7.86113501 0.138864994 9.60165188E-2 1.69734824E-2
