time,rate,back_rate
899.7999999970198,0.0027783951989422987,0.0011113580795769195
35236.52499964833,0.006876396768117006,0.0022921322560390017
70470.02499991655,0.008046670689960662,0.0005747621921400473
105239.97500000894,0.009445756355049312,0.0005556327267676066
139821.9749996662,0.010997470581742164,0.0
174809.84999993443,0.005173603127129078,0.000574844791903231
209013.5499995947,0.0018288222384883876,0.0018288222384883876
244379.94999967515,0.007778209900524273,0.0005555864214660195
279150.0499999523,0.008046901942765824,0.0017243361305926768
313741.5249995887,0.005291605246212866,0.0
348690.0499996841,0.008046901942765824,0.0011495574203951179
382794.9999999702,0.014293882217923395,0.0
418260.0499994159,0.00722342612656469,0.0005556481635818993
453029.999999702,0.00632220242540509,0.0
487572.0999997854,0.011908306043386076,0.0014885382554232596
522570.0249994397,0.009772642350049798,0.0005748613147088116
522570.0249994397,0.0034485731528402837,0.0011495243842800946
556545.0749995261,0.0047698545193015475,0.0
592109.9999998063,0.00632220242540509,0.0
626882.4999998808,0.008358707982536377,0.0017911517105435094
661392.9999999702,0.007430524594970591,0.0007430524594970591
696389.9499996006,0.014369467754938973,0.0
730329.424999699,0.007212405336869893,0.0
765899.9749997854,0.010000277785477484,0.0
801108.9999994338,0.015082956259322542,0.002320454809126545
835209.1499995291,0.012709330143455719,0.002990430621989581
870179.9999995977,0.0077786420712897385,0.0
904949.9249998778,0.0011495243842899398,0.0
939689.9749999642,0.012645495042391148,0.0
974898.8499994278,0.016217564870078596,0.0
1008992.9749995172,0.010102103402178937,0.0
1043939.9249995798,0.010001389081816919,0.0011112654535352132
1078709.9499998689,0.0034484740502209585,0.0011494913500736529
1113449.7249999642,0.018396619621113094,0.0005748943631597842
1148679.974999398,0.013163957085654834,0.0013163957085654833
1182802.4749994874,0.012121620256549968,0.0013468466951722187
1217700.0249995887,0.009445231547026449,0.0005556018557074381
1252469.949999854,0.0034484740502209585,0.0
1287209.9499999434,0.01781711592614162,0.0005747456750368264
1322438.949999392,0.023628248884314015,0.001312680493573001
1356689.9999994785,0.008621185125552397,0.0005747456750368264
1391465.9499995708,0.011746280344577137,0.0011186933661502035
1426230.049999833,0.0028738935509877946,0.0
1460969.9249999225,0.009770957266464488,0.0011495243842899398
1496165.050000012,0.012051096649838413,0.0012051096649838412
1530479.9749994576,0.016112453815515706,0.0011112037114148763
1565260.049999565,0.01569949994188091,0.0017443888824312122
1599990.049999833,0.004023450971382912,0.0
1634729.8999999166,0.01609380388553165,0.0
1669880.550000012,0.021767522855969605,0.0
1704239.9749994576,0.014444845690134144,0.0005555709880820824
1739050.1249997318,0.018076100382545875,0.0006025366794181957
1773749.8749998212,0.010346314125592757,0.0005747952291995977
1808519.9749999046,0.01666712964246247,0.0011111419761641649
1843638.674999565,0.014387799146365047,0.0
1878029.8999996185,0.01724435247453504,0.0
1912827.549999714,0.014156459654064018,0.0012309964916577408
1947539.9749998152,0.01666712964246247,0.0
1982309.9499994516,0.02069203356711212,0.0005747787101975589
2017390.049999535,0.016040762408046617,0.0
2051820.0499996245,0.01277919768865323,0.0
2086606.0499998927,0.009954327204608072,0.0017566459772837776
